,videoId,title,description,publishedAt,commentCount,dislikeCount,favoriteCount,likeCount,viewCount
0,JfzbuBBCHNk,『タイトルと曲のバランス合ってない奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-12T09:00:03.000Z,638,25,0,1190,49859
1,Ej62S63vZL0,『「なんでミスするの？」って言うコーチの奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-11T09:00:05.000Z,786,40,0,1804,89453
2,lH8VTmQOLWA,『優勝インタビューで「よいしょー」って言う奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-10T09:00:10.000Z,648,28,0,1261,58400
3,I7xKy_RXJ_g,『サウナ入る南って奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-09T09:00:03.000Z,774,32,0,2589,124820
4,BoNiQ6LDh-4,『ちょっと変な先生な奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-08T09:00:05.000Z,858,44,0,1641,78317
5,ixvrRdtyYQw,『息子の手紙に泣かへん奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-07T09:00:09.000Z,762,40,0,1917,94765
6,Z6WDr0GQZ_k,『屁の振動で文字書く奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-06T09:00:07.000Z,911,40,0,2486,98908
7,1iTijroi26E,『「そりゃそうや」しか言わん奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-05T09:00:01.000Z,957,43,0,2211,95728
8,kPep5t5s7w4,ジャルジャルタワー２億回再生突破！記念ライブ,音声に不備があった部分を修正致しました。 このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！...,2019-12-04T11:00:07.000Z,254,20,0,1152,49355
9,vc3UnM8n5AQ,『珍しい形で会社乗っ取る奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-04T09:00:14.000Z,664,147,0,3866,307630
10,TJNiKDDa_bA,ジャルジャル、スーツを新調する！#1,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-03T09:00:04.000Z,380,9,0,665,34548
11,LD_pdXtZiBc,『オレオレ詐欺の電話かかってくる南って奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-03T09:00:03.000Z,680,68,0,3220,198722
12,XONq5y-kIGI,ジャルジャル、スーツを新調する！#2,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-03T09:00:11.000Z,306,11,0,720,32674
13,7I5yAp_ALgE,ジャルジャル、スーツを新調する！#3,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-03T09:00:00.000Z,279,15,0,557,24543
14,otxv_aUBqME,コメント読む奴〜10月編〜,このチャンネルはジャルジャルの公式チャンネルです！ コメントを読む奴は今後、毎月発表して行きます！ 更新は撮影の関係で固定の曜日ではあ...,2019-12-03T09:00:07.000Z,571,11,0,1382,42912
15,Ubm5YznzSDE,『「日本人かーい！」って言う奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-12-02T09:00:06.000Z,938,70,0,2324,114249
16,uwJ333RzaDs,『一人言で銀行強盗説得する奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2019-11-30T09:00:13.000Z,1138,494,0,10151,719970
