,title,viewCount,likeCount,dislikeCount,commentCount,label
0,タイトルと曲のバランス合ってない奴,49859,1190,25,638,0
1,「なんでミスするの？」って言うコーチの奴,89453,1804,40,786,0
2,優勝インタビューで「よいしょー」って言う奴,58400,1261,28,648,0
3,サウナ入る南って奴,124820,2589,32,774,1
4,ちょっと変な先生な奴,78317,1641,44,858,0
5,息子の手紙に泣かへん奴,94765,1917,40,762,0
6,屁の振動で文字書く奴,98908,2486,40,911,0
7,「そりゃそうや」しか言わん奴,95728,2211,43,957,0
8,珍しい形で会社乗っ取る奴,307630,3866,147,664,2
9,オレオレ詐欺の電話かかってくる南って奴,198722,3220,68,680,1
10,「日本人かーい！」って言う奴,114249,2324,70,938,1
11,一人言で銀行強盗説得する奴,719970,10151,494,1138,2
12,深呼吸の吐く量、少ない奴,80719,1798,27,487,0
13,足つぼマッサージする南って奴,94833,2059,41,691,0
14,服屋でバーベキューした奴,161310,2810,65,738,1
15,オーダーミスで体固まる奴,138495,2205,52,748,1
16,拾った財布にサインする舞台俳優な奴,117359,1859,43,647,1
17,ボディービルダーおちょくる会社を立ち上げたい奴,161248,2620,82,812,1
18,ケンカするほどではない奴,97266,1645,35,444,0
19,昔、そいつにシバかれた奴,704466,7788,282,1224,2
20,本番で声震える奴,125983,2577,36,779,1
21,「分かりました！」って言うけど分かってない奴,137784,2276,58,696,1
22,強豪サッカー部の新任コーチな奴,502426,4810,170,818,2
23,笑ってる客に「セコい」って言う漫才師な奴,103353,1697,34,539,1
24,客のもの欲しがる引っ越し業者の奴,112137,1777,36,502,1
25,スカウトされて大学と就職先をやめる奴,216089,2928,65,537,1
26,主婦ボクサーに密着する奴,63264,1216,83,706,0
27,怒鳴るタイミング予想する奴,118650,2391,60,623,1
28,主婦ボクサーと脱サラ５０代カメラマンな奴,54051,1186,19,450,0
29,主婦でボクサーな奴,70922,1367,25,502,0
30,ヤバい店員にヤバい客にされた奴,185685,3170,98,676,1
31,ジムで話しかけられる奴,77214,1695,28,515,0
32,これ見て時間無駄にする奴,72448,2165,157,1147,0
33,ボーリングでボコりたい奴,153485,2258,48,630,1
34,減量中のボクサーとコンビ組んでる奴,178512,2641,83,990,1
35,南っていう奴〜お父さん〜,154551,3929,40,902,1
36,ギャグの練習したのに本番フラない奴,118850,1622,42,560,1
37,チャラ男番長のネタを見る奴 パート43,47676,505,4519,638,0
38,ギャグ魔神に「サブい」っていうバイト先の奴,176489,3297,69,1041,1
39,面接官の頭、叩く奴,165393,2972,62,621,1
40,教習所に通う関東出身のツッコミ下手な奴,357236,6148,418,1880,2
41,有名人もじった名前やのに似てない奴,90460,1486,32,508,0
42,ポン酢のＣＭ撮る奴,145194,2588,44,535,1
43,途中から見るとなんでウケてるか分からん漫才する奴,214772,4113,108,890,1
44,チャラ男番長のネタを見る奴 パート42,53539,541,4571,605,0
45,口笛指揮者な奴,59892,1386,33,477,0
46,上司の短髪イジり過ぎてクビなる奴,314281,4595,99,944,2
47,短髪にした女な奴,185664,3098,55,1051,1
48,あだ名,176380,2146,54,440,1
49,ツッコミに抑揚ない奴,170660,2671,82,1126,1
50,気持ちで歌わせる奴,82000,1692,31,693,0
51,アホ太郎っていう奴,244178,4591,89,1057,1
52,漫才中に気絶しちゃう奴,119906,2170,47,657,1
53,ホットパンツピッチャーって言えへん奴,122194,2573,38,824,1
54,怖すぎる劇団員な奴,171152,2671,63,597,1
55,「しばくぞ」が口癖な奴,249659,3654,77,1102,1
56,対処はやい奴,148365,3757,20,426,1
57,あんまりよくない歌、作る奴,438826,5341,131,929,2
58,かつあげされる奴,313112,2866,153,578,2
59,師匠にぶりっ子する奴,269484,4742,75,754,1
60,調子乗ってスタートダッシュする奴,140814,2968,37,363,1
61,おもしろそうなアニメの声聞こえてくる奴,405005,6011,122,770,2
62,最高ランクな先生な奴,503964,7642,146,1108,2
63,最低ランクな先生な奴,277036,3818,74,943,1
64,ボクシングしながら数学教える奴,108841,2043,38,540,1
65,ハーモニカ教室通う南って奴,235372,5384,62,1136,1
66,チャラ男番長のネタを見る奴 パート41,80486,843,6731,773,0
67,怒られる唇ぶる男って奴,93049,1955,91,599,0
68,ハズレの先生に家庭訪問される奴,969132,15431,416,3596,2
69,楽器忘れたんバレた奴,236669,3875,56,612,1
70,スタンガン、効かん奴,1019044,10084,276,1074,2
71,黙って相手に言わす奴,497765,4820,115,571,2
72,カバはカバと思っている奴,463608,6932,134,657,2
73,退場になってダダこねまくる奴,804695,8929,300,829,2
74,高校生を子供扱いする奴,457106,7419,106,676,2
75,喋るスピード指導する奴,88040,1481,31,269,0
76,お尻ケガした奴,513981,5764,143,476,2
77,ノリツッコミ長い奴,1088316,10108,322,865,2
78,尻にペットボトル入れるのバレる奴,173947,2267,45,283,1
79,ピアニストとコラボする奴,82236,1965,45,438,0
80,変わってる奴,384223,7251,110,657,2
